a1,ex1,g1,60,large,0
a2,ex1,g4,240,large,0
a3,ex1,g5,360,large,0
a4,ex1,g6,480,heavy,0
a5,ex1,g10,480,heavy,0
a6,ex1,g11,780,large,0
a7,ex1,g13,900,large,0
a8,ex1,g15,960,heavy,0
a9,ex1,g17,1140,heavy,0
a10,ex1,g18,1320,large,0
a11,ex1,g21,1440,heavy,0
a12,ex1,g22,1560,heavy,0
a13,ex1,g24,1680,large,0
a14,ex1,g25,1740,large,0
a15,ex1,g27,1860,large,0
a16,ex1,g28,1980,large,0
d1,g1,ey1,0,large,120
d2,g3,ey1,120,heavy,120
d3,g5,ey1,240,large,120
d4,g6,ey1,360,large,120
d5,g10,ey1,420,heavy,120
d6,g11,ey1,540,heavy,120
d7,g13,ey1,660,large,120
d8,g14,ey1,720,large,120
d9,g18,ey1,960,large,120
d10,g19,ey1,1020,heavy,120
d11,g21,ey1,1200,large,120
d12,g22,ey1,1260,large,120
d13,g23,ey1,1380,large,120
d14,g24,ey1,1740,large,120
d15,g26,ey1,1860,large,120
d16,g27,ey1,1860,heavy,120
