a1,ex1,g1,19,large,0
a2,ex1,g55,97,large,0
a3,ex1,g50,173,large,0
a4,ex1,g9,245,heavy,0
a5,ex1,g10,311,heavy,0
a6,ex1,g13,378,large,0
a7,ex1,g15,445,large,0
a8,ex1,g17,503,heavy,0
a9,ex2,g21,572,small,0
a10,ex1,g23,645,large,0
a11,ex1,g26,704,heavy,0
a12,ex2,g29,775,small,0
a13,ex1,g33,841,large,0
a14,ex2,g40,906,small,0
a15,ex1,g43,962,large,0
a16,ex1,g49,1022,large,0
a17,ex2,g2,1094,small,0
a18,ex1,g5,1148,large,0
a19,ex1,g11,1198,heavy,0
a20,ex2,g45,1277,small,0
d1,g1,ey1,39,large,120
d2,g66,ey1,109,heavy,120
d3,g62,ey1,165,large,120
d4,g6,ey1,235,large,120
d5,g56,ey1,298,heavy,120
d6,g11,ey1,370,heavy,120
d7,g13,ey1,443,large,120
d8,g52,ey1,515,large,120
d9,g18,ey1,568,large,120
d10,g46,ey1,644,heavy,120
d11,g40,ey1,710,large,120
d12,g22,ey2,774,small,120
d13,g36,ey1,841,large,120
d14,g24,ey1,902,large,120
d15,g32,ey2,977,small,120
d16,g27,ey1,1034,heavy,120
d17,g26,ey2,1090,small,120
d18,g21,ey1,1149,large,120
d19,g19,ey1,1209,large,120
d20,g53,ey1,1287,heavy,120
