a1,ex2,A11,60,medium,0
a2,ex1,B10,120,heavy,0
a3,ex2,E4,300,medium,0
a4,ex2,E1,360,medium,0
a5,ex2,A18,480,medium,0
a6,ex1,F54,600,heavy,0
a7,ex1,F56,720,heavy,0
a8,ex2,A20,840,medium,0
a9,ex2,A19,900,medium,0
a10,ex2,E5,1020,medium,0
a11,ex2,F52,1140,medium,0
a12,ex2,F32,1200,medium,0
a13,ex2,F40,1320,medium,0
a14,ex1,E20,1440,heavy,0
a15,ex1,F58,1500,heavy,0
a16,ex2,E3,1620,medium,0
a17,ex2,F30,1740,medium,0
a18,ex2,B9,1980,medium,0
a19,ex2,E2,2160,medium,0
a20,ex2,E10,2280,medium,0
a21,ex1,A3,2520,heavy,0
a22,ex2,E26,2640,medium,0
a23,ex2,B3,2760,medium,0
a24,ex1,E22,2820,heavy,0
a25,ex2,A17,2940,medium,0
a26,ex1,A4,3000,heavy,0
a27,ex1,F33,3120,heavy,0
a28,ex2,A16,3240,medium,0
a29,ex1,A14,3360,heavy,0
a30,ex1,A12,3420,heavy,0
d1,E27,ey2,0,medium,120
d2,A2,ey2,120,medium,120
d3,203,ey2,360,medium,120
d4,F36,ey2,420,medium,120
d5,E24,ey1,660,heavy,120
d6,F37,ey1,780,heavy,120
d7,B5,ey1,900,jet,120
d8,B7,ey1,1440,jet,120
d9,A5,ey1,1680,jet,120
d10,A1,ey1,1800,heavy,120
d11,200,ey1,1980,heavy,120
d12,B1,ey2,2280,medium,120
d13,A10,ey1,2520,heavy,120
d14,B6,ey2,2700,medium,120
d15,B4,ey2,2760,medium,120
d16,202,ey1,3060,heavy,120
d17,B8,ey1,3240,heavy,120
d18,B2,ey2,3480,medium,120
