a1,ex2,E11,0,medium,0
a2,ex2,F58,120,medium,0
a3,ex2,F32,240,medium,0
a4,ex2,F37,360,medium,0
a5,ex1,A20,540,heavy,0
a6,ex1,A2,720,heavy,0
a7,ex2,F34,840,medium,0
a8,ex2,A13,1020,medium,0
a9,ex1,A11,1080,heavy,0
a10,ex2,B1,1260,medium,0
a11,ex2,A12,1380,medium,0
a12,ex2,E26,1500,medium,0
a13,ex2,F35,1620,medium,0
a14,ex2,A18,1800,medium,0
a15,ex1,B5,1980,heavy,0
a16,ex2,B8,2100,medium,0
a17,ex2,A14,2220,medium,0
a18,ex2,E6,2220,medium,0
a19,ex2,B4,2340,medium,0
a20,ex2,E27,2400,medium,0
a21,ex1,201,2460,heavy,0
a22,ex1,F50,2580,heavy,0
a23,ex2,B10,2760,medium,0
a24,ex2,E1,2940,medium,0
a25,ex1,A9,3000,heavy,0
a26,ex1,E2,3180,jet,0
a27,ex2,F59,3240,medium,0
a28,ex2,A17,3300,medium,0
a29,ex2,A5,3480,medium,0
a30,ex2,E3,3600,medium,0
a31,ex2,E7,3600,medium,0
d1,A3,ey1,0,heavy,120
d2,E20,ey1,60,heavy,120
d3,F42,ey2,240,medium,120
d4,B9,ey2,300,medium,120
d5,B6,ey2,420,medium,120
d6,F31,ey2,480,medium,120
d7,A15,ey1,600,jet,120
d8,F54,ey1,900,heavy,120
d9,A1,ey2,1440,medium,120
d10,202,ey1,1500,heavy,120
d11,A21,ey2,1620,medium,120
d12,B3,ey2,1680,medium,120
d13,E24,ey2,1800,medium,120
d14,E22,ey2,2340,medium,120
d15,B2,ey1,2460,heavy,120
d16,200,ey2,2580,medium,120
d17,B7,ey1,2760,heavy,120
