a1,ex1,E8,300,heavy,0
a2,ex1,A13,540,heavy,0
a3,ex1,F50,780,heavy,0
a4,ex1,E11,900,heavy,0
a5,ex2,B10,1260,medium,0
a6,ex1,A20,1380,heavy,0
a7,ex1,B7,1620,jet,0
a8,ex1,B4,1800,jet,0
a9,ex1,B2,2100,jet,0
a10,ex1,A12,2820,heavy,0
a11,ex1,A2,3240,heavy,0
a12,ex1,B8,3360,heavy,0
d1,F36,ey2,60,medium,120
d2,A10,ey1,180,heavy,120
d3,E4,ey1,420,heavy,120
d4,A17,ey2,540,medium,120
d5,F58,ey2,600,medium,120
d6,F37,ey1,720,heavy,120
d7,F41,ey2,840,medium,120
d8,E10,ey1,1020,heavy,120
d9,F32,ey2,1080,medium,120
d10,A18,ey2,1440,medium,120
d11,E2,ey2,1560,medium,120
d12,E28,ey1,1620,heavy,120
d13,F35,ey2,1800,medium,120
d14,A4,ey2,2340,medium,120
d15,E24,ey2,2400,medium,120
d16,A21,ey2,2520,medium,120
d17,A15,ey1,2640,heavy,120
d18,F56,ey2,2760,medium,120
d19,A1,ey2,2880,medium,120
d20,F59,ey1,3120,heavy,120
d21,F31,ey1,3240,heavy,120
d22,A3,ey2,3360,medium,120
d23,A14,ey2,3420,medium,120
d24,200,ey1,3540,heavy,120
